V1	hmm_hmm1	hmm_hmm10	hmm_hmm11	hmm_hmm12	hmm_hmm13	hmm_hmm15	hmm_hmm16	hmm_hmm17	hmm_hmm18	hmm_hmm19	hmm_hmm2	hmm_hmm20	hmm_hmm21	hmm_hmm22	hmm_hmm23	hmm_hmm24	hmm_hmm25	hmm_hmm26	hmm_hmm27	hmm_hmm28	hmm_hmm29	hmm_hmm3	hmm_hmm30	hmm_hmm31	hmm_hmm4	hmm_hmm5	hmm_hmm6	hmm_hmm7	hmm_hmm8	hmm_hmm9	type
archae_RMG21540.1:24-456	213.2	122.6	178.1	135.0	114.2	427.1	418.7	311.0	418.7	167.1	225.9	315.5	257.2	182.7	241.9	213.4	176.1	163.2	163.8	274.5	145.6	126.7	733.8	217.9	120.3	127.3	154.6	104.6	122.7	185.1	archea_PKS
AWP21895.1	107.8	207.8	479.0	239.8	312.7	108.5	114.6	216.1	222.3	12.2	493.4	630.7	148.1	113.5	689.3	394.0	229.1	179.2	159.8	167.2	84.3	221.1	173.0	125.4	275.3	409.1	383.4	287.4	284.8	514.7	FASII
bact_BAZ29708.1:39-491	397.5	116.2	152.2	114.7	98.2	934.6	210.5	585.9	676.5	376.8	163.2	240.9	553.9	379.0	202.0	188.3	202.5	443.0	446.4	792.3	284.1	120.8	397.8	506.2	104.9	107.0	103.5	113.5	101.5	165.9	bacterial_PKS
bact_CCQ63627.1:36-460	414.0	119.9	157.0	117.2	95.3	890.1	206.5	577.2	659.3	369.2	178.6	261.2	555.4	382.4	209.2	188.8	206.9	437.9	441.4	779.3	289.1	117.4	398.4	511.7	102.9	109.3	108.1	99.3	98.9	168.1	bacterial_PKS
bact_HEY53158.1:128-577	400.7	141.1	153.4	96.4	92.5	935.3	233.5	605.3	670.4	398.8	154.9	271.0	555.1	388.4	199.9	187.0	217.6	427.1	430.2	752.6	280.8	123.3	401.8	514.9	113.0	111.7	105.7	102.1	116.1	171.6	bacterial_PKS
bact_MBF2020495.1:33-467	353.1	128.6	138.9	91.0	82.4	829.3	195.6	545.5	599.2	329.9	141.1	229.2	501.0	343.1	180.2	158.7	170.2	381.0	383.7	721.2	249.5	100.3	383.1	459.6	110.6	103.7	89.5	92.5	88.9	144.4	bacterial_PKS
bact_MBT3291266.1:38-459	374.3	133.5	146.1	97.0	99.8	919.2	235.8	594.5	674.7	387.3	166.4	263.9	564.5	357.7	190.5	185.0	208.6	417.2	420.4	736.2	279.9	114.5	384.2	508.3	110.3	105.2	109.0	103.4	99.1	161.0	bacterial_PKS
bact_MBV8968763.1:37-497	377.4	132.0	149.7	107.4	108.8	893.6	212.8	587.0	689.0	343.2	153.8	264.8	539.3	353.4	196.8	189.1	225.9	428.7	431.6	749.7	272.9	108.9	395.3	504.4	109.1	93.7	111.5	117.4	110.9	160.2	bacterial_PKS
bact_MBV9267707.1:39-496	382.7	113.3	141.6	100.7	100.8	804.3	204.5	514.7	578.4	396.7	152.8	242.4	562.1	368.9	175.9	173.1	173.9	348.5	350.8	700.7	260.3	103.4	371.3	497.0	100.8	126.9	97.1	77.8	100.9	150.2	bacterial_PKS
bact_MCA9160095.1:41-498	394.1	143.6	161.1	109.7	108.0	843.3	201.4	540.9	633.5	325.1	162.0	255.0	526.5	372.1	220.2	193.2	207.6	396.4	399.0	719.8	285.9	130.0	373.5	511.1	109.6	111.9	110.6	95.6	93.4	168.2	bacterial_PKS
bact_NEN98582.1:10-478	388.7	143.8	156.6	98.3	103.7	888.3	223.2	559.8	650.9	406.3	159.0	267.7	552.5	373.4	192.4	166.6	209.5	440.7	444.0	779.6	290.4	121.0	393.1	509.9	107.3	111.4	104.2	100.2	97.2	160.9	bacterial_PKS
bact_NEO61398.1:37-477	362.9	139.6	146.1	100.5	96.2	831.1	220.8	545.0	600.3	409.3	150.0	255.1	521.2	354.8	188.1	168.8	205.8	416.8	420.0	724.7	268.0	120.2	392.7	470.8	105.1	106.7	101.8	99.4	95.1	152.2	bacterial_PKS
bact_NEP49105.1:38-459	407.3	126.6	159.9	104.1	96.8	865.4	204.1	556.7	625.9	350.9	156.0	251.4	549.3	353.9	188.7	160.5	188.2	421.8	425.1	738.5	264.4	102.3	382.9	500.3	106.9	111.0	110.5	92.3	83.6	160.8	bacterial_PKS
bact_NET45425.1:38-458	411.8	125.4	154.4	107.3	109.9	859.7	205.7	547.1	625.6	378.7	162.5	252.3	561.0	369.9	195.4	177.9	195.3	431.7	435.1	742.9	280.9	107.6	385.2	498.2	105.9	109.1	113.9	99.2	89.8	160.8	bacterial_PKS
bact_NQZ65002.1:36-460	414.1	119.9	157.0	117.4	95.3	890.3	207.1	576.2	658.6	366.8	178.7	262.3	555.0	382.3	209.2	188.7	206.7	438.2	441.7	779.5	288.9	117.3	398.2	511.7	103.0	109.7	108.7	99.2	99.1	169.1	bacterial_PKS
bact_OKH21109.1:33-467	352.3	129.8	139.7	90.9	86.1	828.6	198.3	546.8	598.9	336.0	140.1	231.7	501.6	344.0	180.3	161.7	171.4	387.9	390.7	720.0	250.4	101.0	383.1	459.3	111.3	104.5	89.0	92.2	92.5	145.0	bacterial_PKS
bact_PZU99205.1:11-412	389.2	124.5	129.5	110.1	86.0	814.6	201.5	551.1	628.4	352.2	152.0	253.7	506.1	357.7	169.1	169.8	193.8	344.3	346.7	663.1	280.2	108.2	362.6	470.5	112.5	94.5	118.0	89.3	96.9	148.0	bacterial_PKS
bact_RNJ65933.1:4-422	380.6	138.0	144.5	111.6	100.4	896.8	207.0	572.5	656.3	352.2	156.7	268.8	552.9	375.6	198.3	178.5	195.7	419.1	422.2	751.7	283.8	122.5	384.1	511.7	106.5	103.7	102.2	90.2	104.6	162.6	bacterial_PKS
bact_RPJ20130.1:35-489	381.8	133.2	164.8	97.3	101.9	907.5	200.5	553.7	650.8	361.2	162.8	256.9	540.2	362.6	197.5	195.9	213.4	403.9	407.0	735.0	268.9	102.2	367.4	481.9	103.8	110.9	109.2	95.1	97.1	164.9	bacterial_PKS
bact_TFH18080.1:30-482	406.6	129.4	164.6	113.3	108.5	827.4	211.0	554.5	605.2	445.9	172.3	284.5	560.3	389.1	215.8	214.0	199.6	400.5	403.1	709.0	284.0	135.8	383.0	506.8	119.3	124.5	127.7	108.8	112.4	176.2	bacterial_PKS
bact_WP_002733538.1:4-399	393.6	130.3	136.7	96.3	79.4	836.7	175.9	552.6	614.4	332.1	144.2	229.1	518.7	358.8	172.1	159.3	173.3	387.7	390.7	719.0	262.7	101.7	356.5	481.0	104.5	100.3	96.4	87.3	96.0	143.4	bacterial_PKS
bact_WP_053539922.1:30-453	400.5	106.9	139.1	102.0	85.6	820.5	197.8	526.0	604.0	342.9	145.6	224.2	561.0	361.6	178.1	173.0	183.9	395.0	398.1	710.6	284.8	105.4	364.9	518.7	106.5	107.1	109.6	101.2	99.9	153.5	bacterial_PKS
bact_WP_143173830.1:39-460	369.8	124.9	138.8	107.0	90.6	893.1	208.2	581.8	643.1	368.3	150.7	241.3	556.4	382.8	184.5	160.8	181.8	460.4	464.3	749.1	288.6	106.6	394.8	513.9	98.2	111.2	100.4	87.8	92.7	153.2	bacterial_PKS
bact_WP_174709606.1:39-495	373.5	125.1	139.3	107.9	91.4	903.0	205.5	593.3	648.5	371.7	153.1	246.0	552.0	385.0	187.3	158.0	188.4	454.2	457.9	760.7	287.1	109.9	392.3	514.9	97.7	115.0	102.2	92.3	90.5	154.4	bacterial_PKS
bact_WP_216673684.1:41-462	372.9	115.0	149.2	93.7	92.5	870.6	204.7	558.7	636.2	316.1	149.9	239.2	532.8	343.6	180.5	175.5	195.1	408.5	411.7	739.2	255.4	114.7	376.6	480.0	109.0	92.1	108.3	86.8	87.2	155.4	bacterial_PKS
CAC5380982.1	126.9	231.0	505.6	239.3	359.0	121.1	97.8	208.1	214.5	26.6	504.4	633.4	154.4	118.7	658.1	426.0	250.1	182.3	159.5	170.5	84.9	225.1	177.2	125.9	299.2	408.8	373.6	336.7	299.4	519.8	FASII
CAE1258871.1	121.1	240.8	520.4	208.5	345.8	105.9	111.7	214.7	199.2	21.3	492.0	617.1	156.9	118.3	631.1	432.8	253.1	174.1	153.4	176.9	105.6	220.2	177.4	135.6	273.2	400.3	374.3	313.1	279.2	518.0	FASII
CAG11668.1	103.6	207.6	485.0	241.6	315.9	99.9	126.3	217.2	215.2	15.9	482.0	628.8	143.3	105.5	674.9	389.7	229.1	184.2	162.1	162.1	83.5	217.5	168.4	123.0	266.9	394.5	372.1	280.0	283.0	509.8	FASII
CAG2223774.1	131.7	231.2	507.7	240.8	356.3	125.5	97.3	220.2	219.0	27.0	506.9	634.2	152.7	117.3	658.6	420.7	251.7	185.0	163.0	173.7	86.6	223.1	178.9	127.1	299.7	398.6	368.1	328.9	294.6	517.2	FASII
CDS15985.1	90.4	145.3	311.7	146.3	167.1	44.5	77.9	140.2	156.8	29.6	334.6	430.9	110.8	78.7	498.7	240.0	156.0	116.3	99.3	110.8	68.5	147.6	140.5	88.0	148.7	199.5	219.6	175.5	151.8	298.9	FASII
CDS40797.1	88.0	143.6	304.5	145.4	161.6	38.4	80.4	137.9	154.3	26.4	330.6	422.1	108.2	76.8	494.9	234.2	146.8	113.9	97.6	108.7	67.2	144.6	137.9	84.8	146.4	197.2	215.3	172.0	152.0	292.3	FASII
CDW52447.1	117.8	220.3	454.3	205.4	292.7	82.4	118.6	207.0	217.3	19.5	488.8	598.4	145.9	109.4	626.1	395.7	234.0	148.6	130.6	158.2	91.9	200.6	176.7	126.4	254.0	365.4	331.3	260.9	277.6	473.1	FASII
EcPKS1_E._chlorotica__extraction	280.6	69.9	103.4	68.5	37.2	397.6	101.5	275.8	296.4	607.5	88.6	160.6	378.5	575.3	122.8	114.9	89.5	193.2	193.7	322.0	438.0	89.5	219.8	273.2	77.0	55.5	67.9	68.2	62.6	98.6	AFLP
EcPKS2_E._chlorotica__extraction	293.3	84.7	110.8	81.2	74.6	393.0	85.4	296.8	308.1	558.4	121.5	194.2	381.5	568.2	133.2	136.2	100.5	178.3	178.8	329.6	422.3	102.6	215.8	281.6	81.7	78.5	90.3	78.5	69.9	119.9	AFLP
EDL20640.1	121.0	213.8	486.7	250.6	325.6	112.8	119.6	231.7	239.6	24.2	495.4	674.0	147.4	114.7	688.8	427.1	241.6	188.4	166.8	176.5	90.6	234.0	184.5	142.5	284.8	403.1	367.0	283.1	283.1	531.1	FASII
EDO25549.1	115.3	243.4	450.2	207.5	357.3	98.0	96.9	227.1	218.2	14.9	421.9	607.1	141.9	112.7	462.0	413.6	253.2	178.0	159.1	140.3	90.7	238.9	167.5	121.5	289.7	372.5	399.3	287.5	283.0	513.2	FASII
EDO37289.1	130.5	237.3	448.9	215.5	293.3	125.8	131.4	232.0	215.6	20.7	462.6	574.6	168.2	120.3	570.6	387.7	229.7	177.1	155.4	186.9	101.7	232.6	189.8	163.5	266.1	356.1	344.4	288.0	280.0	468.0	FASII
EDW24880.1	112.5	218.7	432.3	246.2	314.5	118.1	90.9	210.9	243.1	19.6	459.5	607.3	152.4	114.8	581.9	387.5	254.3	176.2	156.5	158.8	94.6	230.6	171.3	121.7	280.0	347.7	328.0	271.2	268.9	462.1	FASII
EDX11758.1	107.6	237.2	472.9	238.3	340.9	120.3	91.6	217.4	248.0	24.0	490.7	649.5	149.4	110.3	624.4	404.8	261.6	176.2	157.7	162.5	80.9	230.3	176.0	123.7	277.8	379.9	348.7	297.7	302.5	495.5	FASII
EEC14785.1	122.8	231.0	474.5	241.6	337.5	127.8	139.2	221.3	234.0	14.6	483.2	614.7	172.0	119.6	632.3	407.2	258.4	181.5	162.8	174.0	104.2	218.2	192.4	142.5	280.6	378.3	350.6	301.1	270.4	498.1	FASII
EFP08592.1	119.0	201.8	344.3	154.8	228.6	68.1	64.0	200.6	150.7	10.1	348.0	546.6	111.9	84.9	430.8	370.8	231.0	197.5	170.7	121.7	73.0	194.0	132.8	114.1	339.6	281.0	292.3	535.1	213.9	375.4	FASII
EGV92261.1	114.0	213.5	479.2	234.4	308.1	107.5	113.9	220.6	228.7	18.0	485.9	641.7	145.7	112.0	684.1	407.5	237.2	174.9	154.8	169.7	87.3	228.5	178.9	135.0	280.9	396.3	362.1	276.7	274.6	523.3	FASII
ELW62501.1	120.1	190.4	414.7	239.2	291.1	111.6	117.3	223.5	199.8	9.3	446.6	565.2	147.6	110.2	593.0	376.1	218.6	174.8	152.2	169.1	89.0	224.3	187.9	139.6	253.1	351.5	340.6	254.8	265.0	461.1	FASII
EPB75927.1	92.8	145.2	280.9	166.4	203.6	112.2	94.0	191.7	156.0	43.7	292.1	378.9	126.8	92.5	362.8	279.2	161.1	127.0	101.5	134.3	61.1	194.9	146.2	96.3	184.8	218.5	202.2	190.0	206.8	293.8	FASII
EPY87246.1	127.3	211.3	484.6	247.5	316.9	114.3	127.4	235.5	242.5	21.0	495.9	651.0	147.4	114.5	696.4	421.5	253.9	183.6	164.8	178.0	85.5	229.5	191.2	141.6	279.6	399.2	369.9	283.6	281.3	526.9	FASII
ERL95578.1	91.9	231.8	710.1	213.4	346.4	73.2	79.5	211.5	203.4	13.4	465.3	646.1	121.0	90.6	531.9	459.5	259.6	182.9	160.4	139.1	75.6	225.4	160.5	97.2	281.4	405.5	403.0	307.4	338.0	552.3	FASII
ERL95588.1	122.2	228.0	522.1	232.9	418.9	110.3	115.6	253.7	228.2	29.7	476.0	700.1	165.8	117.1	552.9	473.5	258.0	173.3	151.0	169.2	100.9	248.9	183.9	141.7	321.3	731.2	481.9	311.0	307.2	669.4	FASII
ETE62167.1	116.4	220.1	504.8	233.3	335.9	99.4	99.2	206.0	216.8	11.1	514.0	660.8	139.2	115.7	692.7	417.4	233.3	185.6	168.8	158.6	89.7	229.6	171.0	122.7	277.9	401.3	378.9	288.8	296.1	523.2	FASII
FAS_ERR1256700_NODE_263_length_9665_cov_34.037542_g200_i0_1	309.5	87.0	126.8	81.3	87.5	469.9	96.4	326.0	351.7	799.7	129.0	199.8	433.4	767.5	149.3	130.1	110.7	212.5	213.0	369.8	479.7	108.3	251.1	317.3	93.5	75.8	101.4	99.1	94.1	132.6	FAS
FAS_ERR8666726_NODE_311_length_9384_cov_32.061168_g212_i0_1	306.5	79.9	131.9	86.5	83.9	474.5	103.4	328.5	352.4	789.3	134.0	196.3	429.3	769.4	153.3	137.1	127.1	211.2	211.7	364.1	484.2	109.4	255.1	320.9	87.6	73.3	93.0	104.6	96.4	134.5	FAS
FAS_SRR10527247_NODE_184_length_9318_cov_296.632215_g134_i0_2	311.1	89.6	139.2	95.2	88.8	464.7	124.3	313.3	352.0	819.4	135.1	195.4	425.1	775.5	154.5	129.7	116.6	208.1	208.7	365.6	486.8	112.4	262.3	314.4	99.1	77.0	97.1	101.2	95.4	140.2	FAS
FAS_SRR10527247_NODE_509_length_7239_cov_11.588595_g342_i1_1	317.8	106.4	123.8	82.8	87.4	451.8	116.4	317.1	368.1	679.4	121.4	197.3	399.3	659.5	142.2	111.5	98.7	200.5	200.9	336.0	478.5	111.8	238.5	288.6	90.3	80.9	100.1	80.0	83.2	133.2	FAS
FAS_SRR10527249_NODE_95_length_9760_cov_162.158377_g68_i0_1	306.1	91.5	139.5	100.9	94.1	469.0	124.4	321.9	356.0	806.6	138.3	204.7	420.4	769.5	155.4	133.6	114.5	216.1	216.9	364.8	481.7	114.7	258.9	316.5	100.1	79.7	97.3	101.1	96.1	142.7	FAS
FAS_SRR10527251_NODE_70_length_8403_cov_22.636462_g50_i1_1	306.0	92.2	137.8	98.1	87.1	464.4	119.2	316.5	350.7	815.8	132.9	191.9	424.0	777.1	152.8	133.7	113.5	222.3	223.1	358.4	483.5	114.1	257.4	315.3	98.3	78.1	97.7	102.6	97.8	140.2	FAS
FAS_SRR10802050_NODE_1163_length_7773_cov_41.004935_g762_i1_1	266.7	85.4	123.2	86.4	75.3	344.2	80.5	239.8	302.1	529.1	116.8	164.8	351.8	652.4	144.7	98.2	99.9	155.8	155.2	296.0	475.4	85.5	201.9	275.9	84.5	81.8	107.1	63.1	81.8	127.9	AFLP
FAS_SRR10802050_NODE_8738_length_3581_cov_136.097206_g269_i4_1	343.3	87.0	119.4	94.2	76.4	510.9	132.5	346.6	397.8	837.8	124.1	200.4	435.8	788.9	152.6	122.6	125.7	226.3	227.0	383.4	513.3	116.3	266.0	343.0	98.4	78.9	92.5	98.0	71.1	128.5	FAS
FAS_SRR11248244_NODE_485_length_9113_cov_45.989519_g395_i0_1	292.3	82.2	127.8	75.0	80.5	474.1	111.2	339.0	361.5	778.5	121.5	181.4	425.6	766.8	138.0	118.4	100.4	205.5	206.4	366.2	475.7	101.2	251.6	315.9	84.5	66.6	85.4	93.2	86.4	123.3	FAS
FAS_SRR11811213_NODE_216_length_8253_cov_14.578362_g111_i1_1	308.2	87.5	132.6	85.0	96.8	467.9	102.6	325.3	353.3	779.2	128.7	190.7	424.2	752.5	152.6	125.9	103.7	223.1	223.7	373.1	484.0	109.1	255.9	319.8	96.0	80.8	96.9	82.9	87.3	135.2	FAS
FAS_SRR12061226_NODE_20_length_9447_cov_16.330674_g16_i1_1	299.3	84.2	136.6	85.8	83.9	479.2	123.2	325.4	345.1	788.1	131.2	199.2	420.5	755.0	153.4	132.6	108.7	204.1	204.5	360.8	473.7	112.0	257.2	308.2	88.7	79.1	97.8	110.2	93.8	137.9	FAS
FAS_SRR12357918_NODE_117944_length_1073_cov_1.751953_g43924_i0_1	245.2	60.0	85.7	68.8	52.0	331.7	71.3	209.5	295.1	497.4	88.7	123.7	321.1	554.7	116.5	63.6	72.9	145.3	144.9	281.1	415.1	52.4	164.9	266.3	52.9	48.1	64.6	55.0	41.5	86.2	AFLP
FAS_SRR12357918_NODE_4816_length_5650_cov_107.299232_g685_i3_1	336.8	84.9	109.8	92.3	74.5	541.3	129.9	356.0	422.2	876.6	121.3	196.9	444.9	796.0	148.8	122.6	120.3	243.4	244.1	396.7	517.0	112.8	278.4	348.9	94.2	65.0	91.7	95.9	68.4	121.0	FAS
FAS_SRR12357918_NODE_87990_length_1423_cov_2.729258_g30236_i0_1	307.2	84.9	98.8	76.3	70.4	478.7	91.6	346.1	378.5	760.5	112.4	197.4	413.9	727.7	140.3	131.3	122.6	209.4	210.1	354.1	499.6	101.9	244.6	312.1	85.9	62.7	86.5	74.5	54.7	113.1	FAS
FAS_SRR1265867_NODE_270_length_8133_cov_257.915017_g205_i0_1	318.5	83.5	134.5	95.4	77.0	520.1	131.4	356.4	402.7	851.1	114.9	200.4	437.0	790.4	152.6	127.1	106.9	232.8	233.6	393.6	480.2	111.2	272.0	330.0	89.6	83.9	100.7	90.5	79.7	129.5	FAS
FAS_SRR13700389_NODE_267_length_8257_cov_28.656684_g209_i0_1	322.4	91.6	133.3	94.6	84.9	513.0	129.2	358.6	387.5	849.5	131.0	203.4	429.2	776.9	162.0	136.3	105.9	242.3	243.2	388.5	501.3	124.3	266.7	329.9	101.2	84.2	106.5	100.6	83.7	139.8	FAS
FAS_SRR1505107_NODE_20_length_10797_cov_596.005769_g15_i0_1	302.6	76.9	122.0	82.8	78.1	454.8	107.8	313.4	349.9	777.8	122.9	172.8	421.3	755.2	143.6	127.0	99.1	199.1	199.5	357.8	469.7	104.2	249.8	312.0	83.3	66.3	86.9	94.4	77.7	123.6	FAS
FAS_SRR1505115_NODE_350_length_8732_cov_84.977903_g229_i0_1	320.5	92.4	120.1	97.4	86.7	526.8	126.8	357.4	389.8	849.8	132.0	219.1	439.3	771.3	157.0	140.6	119.6	239.2	240.1	387.4	517.2	120.8	270.4	341.6	102.1	78.3	104.8	103.9	87.9	138.0	FAS
FAS_SRR1505135_NODE_310_length_8377_cov_21.853691_g239_i0_1	303.1	83.6	130.3	87.2	89.4	459.8	106.6	322.2	345.7	808.4	135.4	192.1	421.9	766.5	154.3	132.2	98.1	205.9	206.5	358.9	489.8	111.0	259.7	315.4	90.3	75.0	99.4	106.6	98.2	136.8	FAS
FAS_SRR1505137_NODE_1136_length_6141_cov_44.373684_g828_i0_1	300.9	82.4	134.1	81.2	92.3	468.4	109.5	320.4	352.9	806.5	130.3	198.9	425.1	771.9	152.4	129.4	119.0	206.2	206.5	364.4	484.7	107.8	254.1	322.3	92.0	76.8	95.5	108.6	87.3	135.9	FAS
FAS_SRR1505137_NODE_1158_length_6100_cov_28.744825_g844_i0_1	231.9	77.0	76.3	68.4	45.6	350.8	95.3	256.0	305.1	622.0	91.2	153.5	335.2	656.5	118.5	104.7	93.3	150.5	150.6	282.6	480.0	76.9	200.2	251.1	69.3	48.4	70.2	73.8	67.9	100.9	AFLP
FAS_SRR1505138_NODE_340_length_8555_cov_36.857630_g254_i0_1	293.2	83.6	116.9	85.8	76.3	505.2	117.9	354.7	392.0	879.2	113.2	183.7	426.0	792.5	148.0	130.2	102.2	224.1	224.8	381.8	485.4	112.3	260.1	329.1	90.3	75.9	97.9	92.4	78.3	125.8	FAS
FAS_SRR1542609_NODE_808_length_7975_cov_12.738456_g421_i0_1	322.9	75.2	110.9	92.5	77.7	510.6	127.9	345.3	403.8	848.7	113.3	196.9	434.5	786.0	146.8	125.5	125.0	222.7	224.2	387.0	495.0	113.4	261.6	341.2	95.0	71.5	95.4	90.4	71.0	123.1	FAS
FAS_SRR1542642_NODE_716_length_7919_cov_23.220457_g408_i0_2	324.9	73.4	113.3	95.9	82.0	506.7	129.3	340.9	406.5	839.4	114.4	195.8	434.5	784.2	147.8	124.8	127.2	228.1	228.9	389.5	493.3	115.4	262.1	343.9	95.0	72.0	93.4	91.1	72.7	124.4	FAS
FAS_SRR15563581_NODE_377_length_3846_cov_32.546250_g294_i0_1	311.9	84.2	128.4	87.9	70.6	518.9	133.7	351.5	396.9	830.8	106.6	188.6	427.3	781.8	146.0	114.6	97.1	226.8	227.4	390.3	474.7	104.7	269.2	322.1	87.4	81.7	100.0	84.4	72.2	122.9	FAS
FAS_SRR1582571_NODE_2760_length_4900_cov_58.563311_g1877_i1_1	289.8	84.3	134.1	88.6	100.0	457.1	108.5	323.1	351.6	795.7	129.1	194.8	412.5	752.7	157.2	128.2	104.0	207.5	208.0	356.2	478.4	107.6	255.6	322.2	91.7	74.0	103.9	99.8	77.9	136.5	FAS
FAS_SRR15927343_NODE_261_length_10625_cov_2495.923711_g195_i0_1	327.0	82.5	121.7	90.7	85.5	518.4	125.2	359.4	398.3	828.3	116.7	216.3	417.2	757.1	145.9	143.8	129.5	242.7	243.7	383.3	497.4	130.9	263.0	324.8	94.9	76.8	95.9	93.0	81.5	134.1	FAS
FAS_SRR17920651_NODE_20593_length_2227_cov_10.964717_g14658_i0_1	323.7	99.3	136.5	103.7	93.5	542.1	116.3	363.7	418.2	877.5	137.0	212.2	430.6	733.2	168.6	141.6	138.8	243.1	243.9	401.6	500.0	122.9	265.2	361.7	101.4	71.2	97.6	94.1	87.3	142.5	FAS
